ndoctors,nclinic_doctors,n_cdh_doctors,region,year,category
767,370.25,69,Донецька,2010,з них:керівники закладів та їх заступники-лікарі
266,130.5,89,Житомирська,2010,з них:керівники закладів та їх заступники-лікарі
166.25,62.25,22,Закарпатська,2010,з них:керівники закладів та їх заступники-лікарі
394.5,164.5,79,Запорізька,2010,з них:керівники закладів та їх заступники-лікарі
318,144,68,Івано-Франківська,2010,з них:керівники закладів та їх заступники-лікарі
429.5,226.5,117,Київська,2010,з них:керівники закладів та їх заступники-лікарі
243,107,72,Кіровоградська,2010,з них:керівники закладів та їх заступники-лікарі
425,171,70,Луганська,2010,з них:керівники закладів та їх заступники-лікарі
507,284,91,Львівська,2010,з них:керівники закладів та їх заступники-лікарі
235,103.25,76,Миколаївська,2010,з них:керівники закладів та їх заступники-лікарі
493.25,238.25,94,Одеська,2010,з них:керівники закладів та їх заступники-лікарі
400.25,201.25,92,Полтавська,2010,з них:керівники закладів та їх заступники-лікарі
252.5,109.5,63,Рівненська,2010,з них:керівники закладів та їх заступники-лікарі
242.75,98.75,73,Сумська,2010,з них:керівники закладів та їх заступники-лікарі
257.5,107.5,73,Тернопільська,2010,з них:керівники закладів та їх заступники-лікарі
421.75,168.25,92,Харківська,2010,з них:керівники закладів та їх заступники-лікарі
211,98,64.5,Херсонська,2010,з них:керівники закладів та їх заступники-лікарі
270.5,118,87.75,Хмельницька,2010,з них:керівники закладів та їх заступники-лікарі
274.5,125,74,Черкаська,2010,з них:керівники закладів та їх заступники-лікарі
204,92,55,Чернівецька,2010,з них:керівники закладів та їх заступники-лікарі
244.5,89,75,Чернігівська,2010,з них:керівники закладів та їх заступники-лікарі
405.5,234,0,м.Київ,2010,з них:керівники закладів та їх заступники-лікарі
47,8,0,м.Севастополь,2010,з них:керівники закладів та їх заступники-лікарі
712.2,552.7,96.5,Автономна pеспубліка Крим,2010,терапевти - всього
480,323,150.5,Вінницька,2010,терапевти - всього
271.75,194.75,152.25,Волинська,2010,терапевти - всього
1716.25,1376.25,148,Дніпропетровська,2010,терапевти - всього
2206.5,1853,191.5,Донецька,2010,терапевти - всього
240,157.5,114,Житомирська,2010,терапевти - всього
253,152.75,59.25,Закарпатська,2010,терапевти - всього
851.5,713.5,141.75,Запорізька,2010,терапевти - всього
503.5,395,164.5,Івано-Франківська,2010,терапевти - всього
639.75,500,300,Київська,2010,терапевти - всього
373,288,138.75,Кіровоградська,2010,терапевти - всього
1171.25,971.75,139.5,Луганська,2010,терапевти - всього
877.25,636.75,216,Львівська,2010,терапевти - всього
379.75,300.75,116.5,Миколаївська,2010,терапевти - всього
927.75,748.75,186,Одеська,2010,терапевти - всього
311.75,202,122.75,Полтавська,2010,терапевти - всього
385.25,301.75,106,Рівненська,2010,терапевти - всього
367.75,290.75,185.5,Сумська,2010,терапевти - всього
271.25,160.5,102.75,Тернопільська,2010,терапевти - всього
1035.25,814,94.5,Харківська,2010,терапевти - всього
338.25,265.75,124,Херсонська,2010,терапевти - всього
460.75,361.75,209,Хмельницька,2010,терапевти - всього
371.5,245.25,129.75,Черкаська,2010,терапевти - всього
278.25,207,74.75,Чернівецька,2010,терапевти - всього
353.75,250,139,Чернігівська,2010,терапевти - всього
1815.75,1609.25,0,м.Київ,2010,терапевти - всього
197,151,0,м.Севастополь,2010,терапевти - всього
371.7,371.7,43.75,Автономна pеспубліка Крим,2010,з них: дільничні
224.25,224.25,51.5,Вінницька,2010,з них: дільничні
113.5,113.5,87.25,Волинська,2010,з них: дільничні
999,999,72.25,Дніпропетровська,2010,з них: дільничні
1364.75,1364.75,109.25,Донецька,2010,з них: дільничні
67.25,67.25,44,Житомирська,2010,з них: дільничні
74.25,74.25,24.5,Закарпатська,2010,з них: дільничні
486.75,486.75,71.25,Запорізька,2010,з них: дільничні
306.75,306.75,102,Івано-Франківська,2010,з них: дільничні
348.75,348.75,184.5,Київська,2010,з них: дільничні
195.25,195.25,65,Кіровоградська,2010,з них: дільничні
726.5,726.5,68,Луганська,2010,з них: дільничні
439,439,134.5,Львівська,2010,з них: дільничні
214.75,214.75,62,Миколаївська,2010,з них: дільничні
541.25,541.25,97.25,Одеська,2010,з них: дільничні
75.25,75.25,22.75,Полтавська,2010,з них: дільничні
200.5,200.5,53.5,Рівненська,2010,з них: дільничні
165.75,165.75,82.5,Сумська,2010,з них: дільничні
84.5,84.5,28.5,Тернопільська,2010,з них: дільничні
604.25,604.25,5.5,Харківська,2010,з них: дільничні
200.5,200.5,59.5,Херсонська,2010,з них: дільничні
239.25,239.25,107.25,Хмельницька,2010,з них: дільничні
118,118,43.25,Черкаська,2010,з них: дільничні
142.5,142.5,24,Чернівецька,2010,з них: дільничні
179.75,179.75,65.25,Чернігівська,2010,з них: дільничні
1063.5,1063.5,0,м.Київ,2010,з них: дільничні
111,111,0,м.Севастополь,2010,з них: дільничні
4.75,4.75,0,Автономна pеспубліка Крим,2010,цехової лікарської дільниці
0,0,0,Вінницька,2010,цехової лікарської дільниці
0,0,0,Волинська,2010,цехової лікарської дільниці
24,24,0,Дніпропетровська,2010,цехової лікарської дільниці
7.5,7.5,0,Донецька,2010,цехової лікарської дільниці
1.75,1.75,0,Житомирська,2010,цехової лікарської дільниці
2,2,1,Закарпатська,2010,цехової лікарської дільниці
20.5,20.5,0,Запорізька,2010,цехової лікарської дільниці
1,1,0,Івано-Франківська,2010,цехової лікарської дільниці
5,5,1,Київська,2010,цехової лікарської дільниці
2.5,2.5,0,Кіровоградська,2010,цехової лікарської дільниці
2,2,0,Луганська,2010,цехової лікарської дільниці
9.25,9.25,0,Львівська,2010,цехової лікарської дільниці
1,1,0,Миколаївська,2010,цехової лікарської дільниці
4.5,4.5,0,Одеська,2010,цехової лікарської дільниці
0.5,0.5,0,Полтавська,2010,цехової лікарської дільниці
7.5,7.5,1,Рівненська,2010,цехової лікарської дільниці
0.5,0.5,0.5,Сумська,2010,цехової лікарської дільниці
3,3,0,Тернопільська,2010,цехової лікарської дільниці
2,2,0,Харківська,2010,цехової лікарської дільниці
1,1,0,Херсонська,2010,цехової лікарської дільниці
4.75,4.75,0,Хмельницька,2010,цехової лікарської дільниці
4.5,4.5,0.5,Черкаська,2010,цехової лікарської дільниці
0,0,0,Чернівецька,2010,цехової лікарської дільниці
1.75,1.75,0,Чернігівська,2010,цехової лікарської дільниці
14.75,14.75,0,м.Київ,2010,цехової лікарської дільниці
0.75,0.75,0,м.Севастополь,2010,цехової лікарської дільниці
25.5,25.5,7,Автономна pеспубліка Крим,2010,терапевти підліткові
23.25,23.25,20.75,Вінницька,2010,терапевти підліткові
24.25,24.25,13,Волинська,2010,терапевти підліткові
33.25,33.25,8.75,Дніпропетровська,2010,терапевти підліткові
58.5,58.5,8,Донецька,2010,терапевти підліткові
22.75,22.75,15,Житомирська,2010,терапевти підліткові
23.5,23.5,6,Закарпатська,2010,терапевти підліткові
21.25,21.25,9.25,Запорізька,2010,терапевти підліткові
33,33,10.25,Івано-Франківська,2010,терапевти підліткові
20.25,20.25,12.75,Київська,2010,терапевти підліткові
9.25,9.25,7,Кіровоградська,2010,терапевти підліткові
47.5,47.5,12,Луганська,2010,терапевти підліткові
45.25,45.25,14.25,Львівська,2010,терапевти підліткові
7.5,7.5,5.25,Миколаївська,2010,терапевти підліткові
34.75,34.75,12.25,Одеська,2010,терапевти підліткові
31,31,14.75,Полтавська,2010,терапевти підліткові
19,19,10,Рівненська,2010,терапевти підліткові
10.75,10.75,7.25,Сумська,2010,терапевти підліткові
27.5,27.5,16,Тернопільська,2010,терапевти підліткові
20.75,20.75,13,Харківська,2010,терапевти підліткові
8,8,4,Херсонська,2010,терапевти підліткові
28.75,28.75,18.75,Хмельницька,2010,терапевти підліткові
20,20,9,Черкаська,2010,терапевти підліткові
14.25,14.25,13.25,Чернівецька,2010,терапевти підліткові
8.25,8.25,7.25,Чернігівська,2010,терапевти підліткові
19.25,19.25,0,м.Київ,2010,терапевти підліткові
0.75,0.75,0,м.Севастополь,2010,терапевти підліткові
357,357,58.25,Автономна pеспубліка Крим,2010,загальної практики - сімейні лікарі
437.75,437.75,186,Вінницька,2010,загальної практики - сімейні лікарі
203.5,203.5,29.5,Волинська,2010,загальної практики - сімейні лікарі
254,254,31.75,Дніпропетровська,2010,загальної практики - сімейні лікарі
420.75,420.75,34.25,Донецька,2010,загальної практики - сімейні лікарі
537,537,144.25,Житомирська,2010,загальної практики - сімейні лікарі
604.75,604.75,44.75,Закарпатська,2010,загальної практики - сімейні лікарі
179.75,179.75,31,Запорізька,2010,загальної практики - сімейні лікарі
208.5,208.5,13.25,Івано-Франківська,2010,загальної практики - сімейні лікарі
215.75,215.75,48.5,Київська,2010,загальної практики - сімейні лікарі
137.5,137.5,55.75,Кіровоградська,2010,загальної практики - сімейні лікарі
199.75,199.75,44,Луганська,2010,загальної практики - сімейні лікарі
614.5,614.5,47.5,Львівська,2010,загальної практики - сімейні лікарі
198.5,198.5,81.25,Миколаївська,2010,загальної практики - сімейні лікарі
248.75,248.75,7,Одеська,2010,загальної практики - сімейні лікарі
490.25,490.25,137.5,Полтавська,2010,загальної практики - сімейні лікарі
161.5,161.5,69.25,Рівненська,2010,загальної практики - сімейні лікарі
246,246,110.75,Сумська,2010,загальної практики - сімейні лікарі
393.75,393.75,132.75,Тернопільська,2010,загальної практики - сімейні лікарі
825,825,261.25,Харківська,2010,загальної практики - сімейні лікарі
154.5,154.5,30.75,Херсонська,2010,загальної практики - сімейні лікарі
249.25,249.25,56.25,Хмельницька,2010,загальної практики - сімейні лікарі
335.25,335.25,114.25,Черкаська,2010,загальної практики - сімейні лікарі
320,320,50,Чернівецька,2010,загальної практики - сімейні лікарі
232.5,232.5,57,Чернігівська,2010,загальної практики - сімейні лікарі
166,166,0,м.Київ,2010,загальної практики - сімейні лікарі
86.75,86.75,0,м.Севастополь,2010,загальної практики - сімейні лікарі
36.75,14.5,1.75,Автономна pеспубліка Крим,2010,пульмонологи
20.75,13.75,6.25,Вінницька,2010,пульмонологи
11.5,4,1,Волинська,2010,пульмонологи
38.75,19.75,0,Дніпропетровська,2010,пульмонологи
60.5,29.25,1.25,Донецька,2010,пульмонологи
12.75,6.75,1,Житомирська,2010,пульмонологи
48,20,8.25,Закарпатська,2010,пульмонологи
35.5,15,0,Запорізька,2010,пульмонологи
15.75,11,11.5,Івано-Франківська,2010,пульмонологи
18,6,4.5,Київська,2010,пульмонологи
6.25,2,0.5,Кіровоградська,2010,пульмонологи
20.75,10.25,0,Луганська,2010,пульмонологи
44.5,25,3,Львівська,2010,пульмонологи
9.75,5,0,Миколаївська,2010,пульмонологи
22,8.25,1,Одеська,2010,пульмонологи
16.25,5,0.5,Полтавська,2010,пульмонологи
18.75,9.25,1.25,Рівненська,2010,пульмонологи
13,6.5,4.25,Сумська,2010,пульмонологи
20.25,12.75,9.25,Тернопільська,2010,пульмонологи
34.75,18,1.5,Харківська,2010,пульмонологи
17,6.5,0.25,Херсонська,2010,пульмонологи
16.5,7.75,3.25,Хмельницька,2010,пульмонологи
8.25,1.75,0,Черкаська,2010,пульмонологи
19,9.5,3.5,Чернівецька,2010,пульмонологи
21,7.25,0,Чернігівська,2010,пульмонологи
27,7.75,0,м.Київ,2010,пульмонологи
7.75,2.5,0,м.Севастополь,2010,пульмонологи
8,2.75,0.5,Автономна pеспубліка Крим,2010,в т.ч. пульмонологи дитячі
2,1,0,Вінницька,2010,в т.ч. пульмонологи дитячі
1,0.5,0,Волинська,2010,в т.ч. пульмонологи дитячі
11.75,3.25,0,Дніпропетровська,2010,в т.ч. пульмонологи дитячі
6,1.5,0,Донецька,2010,в т.ч. пульмонологи дитячі
0.75,0.75,0,Житомирська,2010,в т.ч. пульмонологи дитячі
3.25,1.5,0,Закарпатська,2010,в т.ч. пульмонологи дитячі
4.5,2,0,Запорізька,2010,в т.ч. пульмонологи дитячі
3,1.5,0,Івано-Франківська,2010,в т.ч. пульмонологи дитячі
3,1.5,0,Київська,2010,в т.ч. пульмонологи дитячі
1.25,0.25,0,Кіровоградська,2010,в т.ч. пульмонологи дитячі
3.75,1.25,0,Луганська,2010,в т.ч. пульмонологи дитячі
10.75,8.25,0,Львівська,2010,в т.ч. пульмонологи дитячі
3.75,1.5,0,Миколаївська,2010,в т.ч. пульмонологи дитячі
7.75,2.25,0,Одеська,2010,в т.ч. пульмонологи дитячі
3,0,0,Полтавська,2010,в т.ч. пульмонологи дитячі
2.5,1,0,Рівненська,2010,в т.ч. пульмонологи дитячі
2.25,0.75,0,Сумська,2010,в т.ч. пульмонологи дитячі
3,1,0,Тернопільська,2010,в т.ч. пульмонологи дитячі
10,2.25,0,Харківська,2010,в т.ч. пульмонологи дитячі
2.25,0.25,0,Херсонська,2010,в т.ч. пульмонологи дитячі
2,0.5,0,Хмельницька,2010,в т.ч. пульмонологи дитячі
0,0,0,Черкаська,2010,в т.ч. пульмонологи дитячі
2,1,0,Чернівецька,2010,в т.ч. пульмонологи дитячі
4.25,1.25,0,Чернігівська,2010,в т.ч. пульмонологи дитячі
1.5,1,0,м.Київ,2010,в т.ч. пульмонологи дитячі
2,1,0,м.Севастополь,2010,в т.ч. пульмонологи дитячі
15.75,9.25,0,Автономна pеспубліка Крим,2010,ревматологи
18.25,10.25,5,Вінницька,2010,ревматологи
17,9.25,4.25,Волинська,2010,ревматологи
28.25,16.25,1.25,Дніпропетровська,2010,ревматологи
40,27.25,1.5,Донецька,2010,ревматологи
18.5,12,5.75,Житомирська,2010,ревматологи
14.25,11.5,4,Закарпатська,2010,ревматологи
18.75,11.25,0,Запорізька,2010,ревматологи
22.25,13.75,8.5,Івано-Франківська,2010,ревматологи
8.5,6,3,Київська,2010,ревматологи
8.75,5.25,1.25,Кіровоградська,2010,ревматологи
17.75,10.75,0.5,Луганська,2010,ревматологи
27.25,17.75,3.75,Львівська,2010,ревматологи
9,5.25,0.25,Миколаївська,2010,ревматологи
9.5,6,0.25,Одеська,2010,ревматологи
10.25,7.25,3.25,Полтавська,2010,ревматологи
14.5,9,5.25,Рівненська,2010,ревматологи
8.25,5.75,3.5,Сумська,2010,ревматологи
16.25,11.25,7.75,Тернопільська,2010,ревматологи
25.5,15.25,3.75,Харківська,2010,ревматологи
9,4.25,0.5,Херсонська,2010,ревматологи
17.25,11.25,5.5,Хмельницька,2010,ревматологи
11,4,0,Черкаська,2010,ревматологи
13.25,6.25,4.25,Чернівецька,2010,ревматологи
10.25,5,0,Чернігівська,2010,ревматологи
38.5,19.5,0,м.Київ,2010,ревматологи
5,2.5,0,м.Севастополь,2010,ревматологи
15.5,12.25,4.5,Автономна pеспубліка Крим,2010,кардіоревматологи дитячі
7.5,5.5,0,Вінницька,2010,кардіоревматологи дитячі
5.5,3.5,0,Волинська,2010,кардіоревматологи дитячі
21.75,14.5,0,Дніпропетровська,2010,кардіоревматологи дитячі
20.5,15.25,0.25,Донецька,2010,кардіоревматологи дитячі
7.75,7.5,1,Житомирська,2010,кардіоревматологи дитячі
6,5.5,0.25,Закарпатська,2010,кардіоревматологи дитячі
11.75,8.75,0,Запорізька,2010,кардіоревматологи дитячі
9,7.5,0.5,Івано-Франківська,2010,кардіоревматологи дитячі
8.75,6,2,Київська,2010,кардіоревматологи дитячі
5.75,3,0,Кіровоградська,2010,кардіоревматологи дитячі
20.75,12.75,0.5,Луганська,2010,кардіоревматологи дитячі
17,13,0,Львівська,2010,кардіоревматологи дитячі
11.5,7.5,1,Миколаївська,2010,кардіоревматологи дитячі
13,7.75,0,Одеська,2010,кардіоревматологи дитячі
7,4.5,0.5,Полтавська,2010,кардіоревматологи дитячі
3.5,2.25,0,Рівненська,2010,кардіоревматологи дитячі
9.75,6.5,2,Сумська,2010,кардіоревматологи дитячі
4.5,3,0.5,Тернопільська,2010,кардіоревматологи дитячі
21,13.5,2.5,Харківська,2010,кардіоревматологи дитячі
6.75,4.5,0.5,Херсонська,2010,кардіоревматологи дитячі
6.25,3.5,0.25,Хмельницька,2010,кардіоревматологи дитячі
4.25,2.25,0,Черкаська,2010,кардіоревматологи дитячі
4.5,2,0,Чернівецька,2010,кардіоревматологи дитячі
7.5,5,0,Чернігівська,2010,кардіоревматологи дитячі
43,29.25,0,м.Київ,2010,кардіоревматологи дитячі
4,3,0,м.Севастополь,2010,кардіоревматологи дитячі
108.25,45.25,11.5,Автономна pеспубліка Крим,2010,кардіологи
87.75,37.25,38,Вінницька,2010,кардіологи
52,19,17,Волинська,2010,кардіологи
209.5,84.75,17.75,Дніпропетровська,2010,кардіологи
332.25,110,25.5,Донецька,2010,кардіологи
77,34.75,19,Житомирська,2010,кардіологи
74,33.5,17.75,Закарпатська,2010,кардіологи
145.5,52.75,18.25,Запорізька,2010,кардіологи
105.25,38.5,45,Івано-Франківська,2010,кардіологи
88.75,28.75,36.5,Київська,2010,кардіологи
61.75,20.75,20.5,Кіровоградська,2010,кардіологи
163.75,60.75,17.5,Луганська,2010,кардіологи
165,56.5,30.5,Львівська,2010,кардіологи
73.5,26.75,19,Миколаївська,2010,кардіологи
124.5,53.75,13.75,Одеська,2010,кардіологи
106.5,50.75,25,Полтавська,2010,кардіологи
91,34,27,Рівненська,2010,кардіологи
80,29.25,24.75,Сумська,2010,кардіологи
67.25,28.5,25.75,Тернопільська,2010,кардіологи
124,54.5,14.5,Харківська,2010,кардіологи
80,24,7.25,Херсонська,2010,кардіологи
96.25,40.25,35.75,Хмельницька,2010,кардіологи
74.75,32,16,Черкаська,2010,кардіологи
53.5,20.5,12,Чернівецька,2010,кардіологи
69.75,24.25,15.5,Чернігівська,2010,кардіологи
232.25,94.25,0,м.Київ,2010,кардіологи
16.25,7.75,0,м.Севастополь,2010,кардіологи
29.25,16,2.75,Автономна pеспубліка Крим,2010,гастроентерологи
29.5,24,7.5,Вінницька,2010,гастроентерологи
24,13.5,6.5,Волинська,2010,гастроентерологи
53,32.5,0.5,Дніпропетровська,2010,гастроентерологи
89.25,63,9,Донецька,2010,гастроентерологи
22.5,14.75,2.5,Житомирська,2010,гастроентерологи
30,17.75,9.25,Закарпатська,2010,гастроентерологи
33.25,20.5,0,Запорізька,2010,гастроентерологи
32.5,16.25,11.75,Івано-Франківська,2010,гастроентерологи
29.75,13.75,6,Київська,2010,гастроентерологи
14,6.25,1.75,Кіровоградська,2010,гастроентерологи
37.75,24.75,1,Луганська,2010,гастроентерологи
59.25,29.75,7.5,Львівська,2010,гастроентерологи
16.75,10,1.25,Миколаївська,2010,гастроентерологи
39.25,27,1,Одеська,2010,гастроентерологи
25.5,13,5,Полтавська,2010,гастроентерологи
19,12.75,4,Рівненська,2010,гастроентерологи
18,10,4,Сумська,2010,гастроентерологи
29,18,12.5,Тернопільська,2010,гастроентерологи
59.25,35.5,3.75,Харківська,2010,гастроентерологи
21.25,9.5,1,Херсонська,2010,гастроентерологи
20.25,10,4.25,Хмельницька,2010,гастроентерологи
22.25,10.5,0.5,Черкаська,2010,гастроентерологи
26,12.25,3,Чернівецька,2010,гастроентерологи
26.5,13.5,2.5,Чернігівська,2010,гастроентерологи
124.75,75.75,0,м.Київ,2010,гастроентерологи
10.75,6.75,0,м.Севастополь,2010,гастроентерологи
6.75,5.25,0.5,Автономна pеспубліка Крим,2010,в т.ч. гастроентерологи дитячі
7,4.5,0,Вінницька,2010,в т.ч. гастроентерологи дитячі
4.5,3.5,0,Волинська,2010,в т.ч. гастроентерологи дитячі
14,7,0.5,Дніпропетровська,2010,в т.ч. гастроентерологи дитячі
11.5,7,0.5,Донецька,2010,в т.ч. гастроентерологи дитячі
4.25,4.25,0,Житомирська,2010,в т.ч. гастроентерологи дитячі
2.5,2.25,0,Закарпатська,2010,в т.ч. гастроентерологи дитячі
5.25,4.25,0,Запорізька,2010,в т.ч. гастроентерологи дитячі
5.75,3.25,0,Івано-Франківська,2010,в т.ч. гастроентерологи дитячі
4.75,2.25,0,Київська,2010,в т.ч. гастроентерологи дитячі
1,0.25,0,Кіровоградська,2010,в т.ч. гастроентерологи дитячі
9.5,6,0,Луганська,2010,в т.ч. гастроентерологи дитячі
11.25,4,0,Львівська,2010,в т.ч. гастроентерологи дитячі
5.75,1.5,0.25,Миколаївська,2010,в т.ч. гастроентерологи дитячі
9,5.75,0,Одеська,2010,в т.ч. гастроентерологи дитячі
5.5,3.25,0,Полтавська,2010,в т.ч. гастроентерологи дитячі
3,2.75,0,Рівненська,2010,в т.ч. гастроентерологи дитячі
4.75,2.5,0,Сумська,2010,в т.ч. гастроентерологи дитячі
6,2,0,Тернопільська,2010,в т.ч. гастроентерологи дитячі
16.25,7.75,0.75,Харківська,2010,в т.ч. гастроентерологи дитячі
5.25,3.5,0,Херсонська,2010,в т.ч. гастроентерологи дитячі
4.5,2.5,0,Хмельницька,2010,в т.ч. гастроентерологи дитячі
4,1.5,0,Черкаська,2010,в т.ч. гастроентерологи дитячі
6,2,0,Чернівецька,2010,в т.ч. гастроентерологи дитячі
4.5,3.5,0,Чернігівська,2010,в т.ч. гастроентерологи дитячі
37,29.5,0,м.Київ,2010,в т.ч. гастроентерологи дитячі
3,2,0,м.Севастополь,2010,в т.ч. гастроентерологи дитячі
4.25,0,0.25,Автономна pеспубліка Крим,2010,Дієтологи
7.25,0,1.75,Вінницька,2010,Дієтологи
3.5,0,0.5,Волинська,2010,Дієтологи
8.75,0,0,Дніпропетровська,2010,Дієтологи
8.25,0,0,Донецька,2010,Дієтологи
5.25,0,0.5,Житомирська,2010,Дієтологи
8.25,0,1.5,Закарпатська,2010,Дієтологи
2,0,0,Запорізька,2010,Дієтологи
7.75,0,4.5,Івано-Франківська,2010,Дієтологи
4.75,0,2,Київська,2010,Дієтологи
2.25,0,0.25,Кіровоградська,2010,Дієтологи
4.75,0,0.75,Луганська,2010,Дієтологи
10.75,0,0.75,Львівська,2010,Дієтологи
1.5,0,0,Миколаївська,2010,Дієтологи
6,0,0,Одеська,2010,Дієтологи
6.25,0,1.75,Полтавська,2010,Дієтологи
3.25,0,1,Рівненська,2010,Дієтологи
6.25,0,2.5,Сумська,2010,Дієтологи
5.25,0,1.25,Тернопільська,2010,Дієтологи
6.5,0,0,Харківська,2010,Дієтологи
1.5,0,0.25,Херсонська,2010,Дієтологи
6.5,0,1.75,Хмельницька,2010,Дієтологи
2.75,0,0,Черкаська,2010,Дієтологи
3,0,0.5,Чернівецька,2010,Дієтологи
3.5,0,0.75,Чернігівська,2010,Дієтологи
8.75,1,0,м.Київ,2010,Дієтологи
1,0,0,м.Севастополь,2010,Дієтологи
18,6.75,1.5,Автономна pеспубліка Крим,2010,нефрологи
17.25,5.5,0.75,Вінницька,2010,нефрологи
13.75,1.5,3.25,Волинська,2010,нефрологи
36,9.5,0,Дніпропетровська,2010,нефрологи
35.75,9.75,0,Донецька,2010,нефрологи
21.5,4,1.5,Житомирська,2010,нефрологи
