nregion_hospital,nrural,ndoctors,region,year,category
0,0,0,Черкаська,2010,Диспансери
0,0,0,Чернівецька,2010,Диспансери
0,0,0,Чернігівська,2010,Диспансери
0,0,0,м.Київ,2010,Диспансери
0,0,0,м.Севастополь,2010,Диспансери
0,0,0,Автономна pеспубліка Крим,2010,Самостійні стоматологічні полікл.
6,0,69.25,Вінницька,2010,Самостійні стоматологічні полікл.
3,0,45.25,Волинська,2010,Самостійні стоматологічні полікл.
1,0,19.25,Дніпропетровська,2010,Самостійні стоматологічні полікл.
4,0,94,Донецька,2010,Самостійні стоматологічні полікл.
9,1,67,Житомирська,2010,Самостійні стоматологічні полікл.
3,0,68,Закарпатська,2010,Самостійні стоматологічні полікл.
2,0,19,Запорізька,2010,Самостійні стоматологічні полікл.
3,0,97.75,Івано-Франківська,2010,Самостійні стоматологічні полікл.
4,0,49.75,Київська,2010,Самостійні стоматологічні полікл.
1,0,9,Кіровоградська,2010,Самостійні стоматологічні полікл.
1,0,9.25,Луганська,2010,Самостійні стоматологічні полікл.
5,0,72.75,Львівська,2010,Самостійні стоматологічні полікл.
1,0,15,Миколаївська,2010,Самостійні стоматологічні полікл.
1,0,8,Одеська,2010,Самостійні стоматологічні полікл.
1,0,27,Полтавська,2010,Самостійні стоматологічні полікл.
9,0,77,Рівненська,2010,Самостійні стоматологічні полікл.
3,0,76.5,Сумська,2010,Самостійні стоматологічні полікл.
6,0,82,Тернопільська,2010,Самостійні стоматологічні полікл.
0,0,0,Харківська,2010,Самостійні стоматологічні полікл.
1,0,12.5,Херсонська,2010,Самостійні стоматологічні полікл.
3,0,36.5,Хмельницька,2010,Самостійні стоматологічні полікл.
0,0,0,Черкаська,2010,Самостійні стоматологічні полікл.
0,0,0,Чернівецька,2010,Самостійні стоматологічні полікл.
0,0,0,Чернігівська,2010,Самостійні стоматологічні полікл.
0,0,0,м.Київ,2010,Самостійні стоматологічні полікл.
0,0,0,м.Севастополь,2010,Самостійні стоматологічні полікл.
21,0,110.5,Автономна pеспубліка Крим,2010,Станції та від.швид.медич.допомоги
42,2,148.5,Вінницька,2010,Станції та від.швид.медич.допомоги
25,1,38,Волинська,2010,Станції та від.швид.медич.допомоги
34,6,39.75,Дніпропетровська,2010,Станції та від.швид.медич.допомоги
22,1,148,Донецька,2010,Станції та від.швид.медич.допомоги
23,1,33.25,Житомирська,2010,Станції та від.швид.медич.допомоги
58,37,112.75,Закарпатська,2010,Станції та від.швид.медич.допомоги
43,24,40,Запорізька,2010,Станції та від.швид.медич.допомоги
38,0,101,Івано-Франківська,2010,Станції та від.швид.медич.допомоги
41,12,144.75,Київська,2010,Станції та від.швид.медич.допомоги
57,26,26.25,Кіровоградська,2010,Станції та від.швид.медич.допомоги
30,1,44.75,Луганська,2010,Станції та від.швид.медич.допомоги
52,2,65.25,Львівська,2010,Станції та від.швид.медич.допомоги
21,1,36.25,Миколаївська,2010,Станції та від.швид.медич.допомоги
43,10,6.75,Одеська,2010,Станції та від.швид.медич.допомоги
35,5,61,Полтавська,2010,Станції та від.швид.медич.допомоги
35,14,88,Рівненська,2010,Станції та від.швид.медич.допомоги
16,0,51,Сумська,2010,Станції та від.швид.медич.допомоги
21,0,104.5,Тернопільська,2010,Станції та від.швид.медич.допомоги
24,0,31.5,Харківська,2010,Станції та від.швид.медич.допомоги
18,0,22.25,Херсонська,2010,Станції та від.швид.медич.допомоги
42,10,52,Хмельницька,2010,Станції та від.швид.медич.допомоги
31,10,41.75,Черкаська,2010,Станції та від.швид.медич.допомоги
25,7,54.5,Чернівецька,2010,Станції та від.швид.медич.допомоги
42,5,35,Чернігівська,2010,Станції та від.швид.медич.допомоги
0,0,0,м.Київ,2010,Станції та від.швид.медич.допомоги
0,0,0,м.Севастополь,2010,Станції та від.швид.медич.допомоги
13,0,23.5,Автономна pеспубліка Крим,2010,Станції та відділ.перелив.крові
26,0,22.25,Вінницька,2010,Станції та відділ.перелив.крові
7,0,8.5,Волинська,2010,Станції та відділ.перелив.крові
7,0,9.25,Дніпропетровська,2010,Станції та відділ.перелив.крові
9,0,19.25,Донецька,2010,Станції та відділ.перелив.крові
19,0,8.5,Житомирська,2010,Станції та відділ.перелив.крові
12,0,15,Закарпатська,2010,Станції та відділ.перелив.крові
10,0,9.5,Запорізька,2010,Станції та відділ.перелив.крові
12,0,10.5,Івано-Франківська,2010,Станції та відділ.перелив.крові
20,0,14.25,Київська,2010,Станції та відділ.перелив.крові
21,1,10,Кіровоградська,2010,Станції та відділ.перелив.крові
11,0,14.75,Луганська,2010,Станції та відділ.перелив.крові
21,0,10.5,Львівська,2010,Станції та відділ.перелив.крові
19,0,8.75,Миколаївська,2010,Станції та відділ.перелив.крові
7,0,5.25,Одеська,2010,Станції та відділ.перелив.крові
20,0,18.25,Полтавська,2010,Станції та відділ.перелив.крові
14,0,10.25,Рівненська,2010,Станції та відділ.перелив.крові
6,0,5.25,Сумська,2010,Станції та відділ.перелив.крові
21,0,12.5,Тернопільська,2010,Станції та відділ.перелив.крові
22,0,22,Харківська,2010,Станції та відділ.перелив.крові
8,0,3.75,Херсонська,2010,Станції та відділ.перелив.крові
20,0,22.75,Хмельницька,2010,Станції та відділ.перелив.крові
8,0,6,Черкаська,2010,Станції та відділ.перелив.крові
11,0,17.5,Чернівецька,2010,Станції та відділ.перелив.крові
14,0,5,Чернігівська,2010,Станції та відділ.перелив.крові
0,0,0,м.Київ,2010,Станції та відділ.перелив.крові
0,0,0,м.Севастополь,2010,Станції та відділ.перелив.крові
14,0,127.6,Автономна pеспубліка Крим,2010,Санепідстанції
27,0,197.75,Вінницька,2010,Санепідстанції
14,0,140.75,Волинська,2010,Санепідстанції
21,0,149.75,Дніпропетровська,2010,Санепідстанції
17,0,219,Донецька,2010,Санепідстанції
23,1,185.25,Житомирська,2010,Санепідстанції
14,0,151,Закарпатська,2010,Санепідстанції
18,0,136,Запорізька,2010,Санепідстанції
14,0,174.25,Івано-Франківська,2010,Санепідстанції
25,1,299.75,Київська,2010,Санепідстанції
21,0,133.5,Кіровоградська,2010,Санепідстанції
15,0,108,Луганська,2010,Санепідстанції
20,0,255,Львівська,2010,Санепідстанції
19,0,142,Миколаївська,2010,Санепідстанції
26,0,108,Одеська,2010,Санепідстанції
25,0,179,Полтавська,2010,Санепідстанції
15,0,173,Рівненська,2010,Санепідстанції
21,0,220.25,Сумська,2010,Санепідстанції
17,0,167.5,Тернопільська,2010,Санепідстанції
27,0,274.25,Харківська,2010,Санепідстанції
18,0,96,Херсонська,2010,Санепідстанції
20,0,139,Хмельницька,2010,Санепідстанції
20,2,155.5,Черкаська,2010,Санепідстанції
11,0,64,Чернівецька,2010,Санепідстанції
22,0,127,Чернігівська,2010,Санепідстанції
0,0,0,м.Київ,2010,Санепідстанції
0,0,0,м.Севастополь,2010,Санепідстанції
0,0,355.25,Автономна pеспубліка Крим,2010,Із рр(1-6)в закл.в сільськ.місц.
0,0,305.5,Вінницька,2010,Із рр(1-6)в закл.в сільськ.місц.
0,0,138.5,Волинська,2010,Із рр(1-6)в закл.в сільськ.місц.
0,0,251,Дніпропетровська,2010,Із рр(1-6)в закл.в сільськ.місц.
0,0,241,Донецька,2010,Із рр(1-6)в закл.в сільськ.місц.
0,0,219,Житомирська,2010,Із рр(1-6)в закл.в сільськ.місц.
0,0,493,Закарпатська,2010,Із рр(1-6)в закл.в сільськ.місц.
0,0,171.25,Запорізька,2010,Із рр(1-6)в закл.в сільськ.місц.
0,0,381.25,Івано-Франківська,2010,Із рр(1-6)в закл.в сільськ.місц.
0,0,451.5,Київська,2010,Із рр(1-6)в закл.в сільськ.місц.
0,0,119.25,Кіровоградська,2010,Із рр(1-6)в закл.в сільськ.місц.
0,0,90.75,Луганська,2010,Із рр(1-6)в закл.в сільськ.місц.
0,0,471.75,Львівська,2010,Із рр(1-6)в закл.в сільськ.місц.
0,0,131.5,Миколаївська,2010,Із рр(1-6)в закл.в сільськ.місц.
0,0,314.75,Одеська,2010,Із рр(1-6)в закл.в сільськ.місц.
0,0,301.5,Полтавська,2010,Із рр(1-6)в закл.в сільськ.місц.
0,0,176,Рівненська,2010,Із рр(1-6)в закл.в сільськ.місц.
0,0,191,Сумська,2010,Із рр(1-6)в закл.в сільськ.місц.
0,0,258.75,Тернопільська,2010,Із рр(1-6)в закл.в сільськ.місц.
0,0,281.25,Харківська,2010,Із рр(1-6)в закл.в сільськ.місц.
0,0,122.5,Херсонська,2010,Із рр(1-6)в закл.в сільськ.місц.
0,0,186.25,Хмельницька,2010,Із рр(1-6)в закл.в сільськ.місц.
0,0,232.5,Черкаська,2010,Із рр(1-6)в закл.в сільськ.місц.
0,0,269,Чернівецька,2010,Із рр(1-6)в закл.в сільськ.місц.
0,0,115,Чернігівська,2010,Із рр(1-6)в закл.в сільськ.місц.
0,0,0,м.Київ,2010,Із рр(1-6)в закл.в сільськ.місц.
0,0,0,м.Севастополь,2010,Із рр(1-6)в закл.в сільськ.місц.
138,137,"371,75",Автономна pеспубліка Крим,2011,Самостійні амбулаторії та поліклін.
24,0,"846,75",Вінницька,2011,Самостійні амбулаторії та поліклін.
84,77,"165,75",Волинська,2011,Самостійні амбулаторії та поліклін.
23,1,726,Дніпропетровська,2011,Самостійні амбулаторії та поліклін.
141,112,"362,25",Донецька,2011,Самостійні амбулаторії та поліклін.
200,180,"314,25",Житомирська,2011,Самостійні амбулаторії та поліклін.
245,237,"692,5",Закарпатська,2011,Самостійні амбулаторії та поліклін.
127,115,197,Запорізька,2011,Самостійні амбулаторії та поліклін.
133,129,"545,75",Івано-Франківська,2011,Самостійні амбулаторії та поліклін.
219,209,486,Київська,2011,Самостійні амбулаторії та поліклін.
98,91,"149,5",Кіровоградська,2011,Самостійні амбулаторії та поліклін.
104,75,"228,5",Луганська,2011,Самостійні амбулаторії та поліклін.
198,186,"542,75",Львівська,2011,Самостійні амбулаторії та поліклін.
111,109,"143,75",Миколаївська,2011,Самостійні амбулаторії та поліклін.
171,156,409,Одеська,2011,Самостійні амбулаторії та поліклін.
205,203,"340,75",Полтавська,2011,Самостійні амбулаторії та поліклін.
104,101,"218,75",Рівненська,2011,Самостійні амбулаторії та поліклін.
135,129,201,Сумська,2011,Самостійні амбулаторії та поліклін.
155,152,273,Тернопільська,2011,Самостійні амбулаторії та поліклін.
18,12,"97,25",Харківська,2011,Самостійні амбулаторії та поліклін.
91,86,"144,25",Херсонська,2011,Самостійні амбулаторії та поліклін.
113,110,"201,25",Хмельницька,2011,Самостійні амбулаторії та поліклін.
125,121,"250,25",Черкаська,2011,Самостійні амбулаторії та поліклін.
134,134,"312,75",Чернівецька,2011,Самостійні амбулаторії та поліклін.
98,94,"128,75",Чернігівська,2011,Самостійні амбулаторії та поліклін.
0,0,0,м.Київ,2011,Самостійні амбулаторії та поліклін.
0,0,0,м.Севастополь,2011,Самостійні амбулаторії та поліклін.
0,0,0,Автономна pеспубліка Крим,2011,Диспансери
0,0,0,Вінницька,2011,Диспансери
1,1,7,Волинська,2011,Диспансери
0,0,0,Дніпропетровська,2011,Диспансери
6,0,"36,25",Донецька,2011,Диспансери
0,0,0,Житомирська,2011,Диспансери
0,0,0,Закарпатська,2011,Диспансери
0,0,0,Запорізька,2011,Диспансери
0,0,0,Івано-Франківська,2011,Диспансери
0,0,0,Київська,2011,Диспансери
0,0,0,Кіровоградська,2011,Диспансери
1,0,"1,25",Луганська,2011,Диспансери
0,0,0,Львівська,2011,Диспансери
0,0,0,Миколаївська,2011,Диспансери
0,0,0,Одеська,2011,Диспансери
0,0,0,Полтавська,2011,Диспансери
0,0,0,Рівненська,2011,Диспансери
0,0,0,Сумська,2011,Диспансери
0,0,0,Тернопільська,2011,Диспансери
3,0,"20,25",Харківська,2011,Диспансери
0,0,0,Херсонська,2011,Диспансери
0,0,0,Хмельницька,2011,Диспансери
0,0,0,Черкаська,2011,Диспансери
0,0,0,Чернівецька,2011,Диспансери
0,0,0,Чернігівська,2011,Диспансери
0,0,0,м.Київ,2011,Диспансери
0,0,0,м.Севастополь,2011,Диспансери
0,0,0,Автономна pеспубліка Крим,2011,Самостійні стоматологічні полікл.
6,0,70,Вінницька,2011,Самостійні стоматологічні полікл.
3,0,"43,75",Волинська,2011,Самостійні стоматологічні полікл.
1,0,"18,25",Дніпропетровська,2011,Самостійні стоматологічні полікл.
4,0,90,Донецька,2011,Самостійні стоматологічні полікл.
9,1,68,Житомирська,2011,Самостійні стоматологічні полікл.
3,0,68,Закарпатська,2011,Самостійні стоматологічні полікл.
2,0,16,Запорізька,2011,Самостійні стоматологічні полікл.
3,0,96,Івано-Франківська,2011,Самостійні стоматологічні полікл.
4,0,"47,25",Київська,2011,Самостійні стоматологічні полікл.
1,0,9,Кіровоградська,2011,Самостійні стоматологічні полікл.
1,0,"8,75",Луганська,2011,Самостійні стоматологічні полікл.
5,0,"72,5",Львівська,2011,Самостійні стоматологічні полікл.
1,0,15,Миколаївська,2011,Самостійні стоматологічні полікл.
1,0,"9,5",Одеська,2011,Самостійні стоматологічні полікл.
1,0,27,Полтавська,2011,Самостійні стоматологічні полікл.
7,0,"64,75",Рівненська,2011,Самостійні стоматологічні полікл.
3,0,73,Сумська,2011,Самостійні стоматологічні полікл.
4,0,"62,5",Тернопільська,2011,Самостійні стоматологічні полікл.
0,0,0,Харківська,2011,Самостійні стоматологічні полікл.
1,0,"12,5",Херсонська,2011,Самостійні стоматологічні полікл.
3,0,"34,25",Хмельницька,2011,Самостійні стоматологічні полікл.
0,0,0,Черкаська,2011,Самостійні стоматологічні полікл.
0,0,0,Чернівецька,2011,Самостійні стоматологічні полікл.
0,0,0,Чернігівська,2011,Самостійні стоматологічні полікл.
0,0,0,м.Київ,2011,Самостійні стоматологічні полікл.
0,0,0,м.Севастополь,2011,Самостійні стоматологічні полікл.
21,0,"141,5",Автономна pеспубліка Крим,2011,Станції та від.швид.медич.допомоги
37,1,"134,75",Вінницька,2011,Станції та від.швид.медич.допомоги
25,1,"35,25",Волинська,2011,Станції та від.швид.медич.допомоги
22,1,"38,25",Дніпропетровська,2011,Станції та від.швид.медич.допомоги
22,1,"141,5",Донецька,2011,Станції та від.швид.медич.допомоги
23,1,"29,75",Житомирська,2011,Станції та від.швид.медич.допомоги
55,28,"109,25",Закарпатська,2011,Станції та від.швид.медич.допомоги
34,15,"33,75",Запорізька,2011,Станції та від.швид.медич.допомоги
36,4,"99,5",Івано-Франківська,2011,Станції та від.швид.медич.допомоги
32,4,"141,25",Київська,2011,Станції та від.швид.медич.допомоги
49,19,"25,25",Кіровоградська,2011,Станції та від.швид.медич.допомоги
33,2,"38,25",Луганська,2011,Станції та від.швид.медич.допомоги
52,2,"60,5",Львівська,2011,Станції та від.швид.медич.допомоги
21,1,"36,5",Миколаївська,2011,Станції та від.швид.медич.допомоги
43,10,"6,25",Одеська,2011,Станції та від.швид.медич.допомоги
33,4,"55,5",Полтавська,2011,Станції та від.швид.медич.допомоги
35,14,"83,75",Рівненська,2011,Станції та від.швид.медич.допомоги
17,0,"47,75",Сумська,2011,Станції та від.швид.медич.допомоги
21,0,104,Тернопільська,2011,Станції та від.швид.медич.допомоги
24,0,"27,5",Харківська,2011,Станції та від.швид.медич.допомоги
18,0,24,Херсонська,2011,Станції та від.швид.медич.допомоги
43,11,45,Хмельницька,2011,Станції та від.швид.медич.допомоги
27,6,41,Черкаська,2011,Станції та від.швид.медич.допомоги
28,10,55,Чернівецька,2011,Станції та від.швид.медич.допомоги
41,5,33,Чернігівська,2011,Станції та від.швид.медич.допомоги
0,0,0,м.Київ,2011,Станції та від.швид.медич.допомоги
0,0,0,м.Севастополь,2011,Станції та від.швид.медич.допомоги
13,0,"21,75",Автономна pеспубліка Крим,2011,Станції та відділ.перелив.крові
24,0,23,Вінницька,2011,Станції та відділ.перелив.крові
7,0,"8,5",Волинська,2011,Станції та відділ.перелив.крові
6,0,"7,25",Дніпропетровська,2011,Станції та відділ.перелив.крові
8,0,"20,5",Донецька,2011,Станції та відділ.перелив.крові
19,0,"7,75",Житомирська,2011,Станції та відділ.перелив.крові
10,0,"12,25",Закарпатська,2011,Станції та відділ.перелив.крові
8,0,"7,5",Запорізька,2011,Станції та відділ.перелив.крові
10,0,11,Івано-Франківська,2011,Станції та відділ.перелив.крові
13,0,"11,75",Київська,2011,Станції та відділ.перелив.крові
21,1,"9,75",Кіровоградська,2011,Станції та відділ.перелив.крові
11,0,"14,75",Луганська,2011,Станції та відділ.перелив.крові
21,0,9,Львівська,2011,Станції та відділ.перелив.крові
19,0,"8,75",Миколаївська,2011,Станції та відділ.перелив.крові
7,0,"5,25",Одеська,2011,Станції та відділ.перелив.крові
20,0,"18,75",Полтавська,2011,Станції та відділ.перелив.крові
14,0,11,Рівненська,2011,Станції та відділ.перелив.крові
6,0,"4,75",Сумська,2011,Станції та відділ.перелив.крові
21,0,"12,25",Тернопільська,2011,Станції та відділ.перелив.крові
22,0,"13,5",Харківська,2011,Станції та відділ.перелив.крові
8,0,"1,25",Херсонська,2011,Станції та відділ.перелив.крові
20,0,"18,25",Хмельницька,2011,Станції та відділ.перелив.крові
7,0,5,Черкаська,2011,Станції та відділ.перелив.крові
11,0,"17,75",Чернівецька,2011,Станції та відділ.перелив.крові
12,0,"4,25",Чернігівська,2011,Станції та відділ.перелив.крові
0,0,0,м.Київ,2011,Станції та відділ.перелив.крові
0,0,0,м.Севастополь,2011,Станції та відділ.перелив.крові
14,0,"119,75",Автономна pеспубліка Крим,2011,Санепідстанції
27,0,"193,5",Вінницька,2011,Санепідстанції
14,0,139,Волинська,2011,Санепідстанції
21,0,"138,5",Дніпропетровська,2011,Санепідстанції
17,0,208,Донецька,2011,Санепідстанції
23,1,"165,75",Житомирська,2011,Санепідстанції
14,0,"143,5",Закарпатська,2011,Санепідстанції
18,0,130,Запорізька,2011,Санепідстанції
14,0,"176,75",Івано-Франківська,2011,Санепідстанції
25,1,279,Київська,2011,Санепідстанції
21,0,"115,5",Кіровоградська,2011,Санепідстанції
15,0,"102,5",Луганська,2011,Санепідстанції
20,0,242,Львівська,2011,Санепідстанції
19,0,142,Миколаївська,2011,Санепідстанції
26,0,104,Одеська,2011,Санепідстанції
25,0,169,Полтавська,2011,Санепідстанції
15,0,175,Рівненська,2011,Санепідстанції
21,0,"212,25",Сумська,2011,Санепідстанції
17,0,"163,25",Тернопільська,2011,Санепідстанції
27,0,"240,25",Харківська,2011,Санепідстанції
18,0,89,Херсонська,2011,Санепідстанції
20,0,"123,25",Хмельницька,2011,Санепідстанції
20,2,"137,25",Черкаська,2011,Санепідстанції
11,0,"63,25",Чернівецька,2011,Санепідстанції
22,0,112,Чернігівська,2011,Санепідстанції
0,0,0,м.Київ,2011,Санепідстанції
0,0,0,м.Севастополь,2011,Санепідстанції
0,0,"367,25",Автономна pеспубліка Крим,2011,Із рр(1-6)в закл.в сільськ.місц.
0,0,"739,75",Вінницька,2011,Із рр(1-6)в закл.в сільськ.місц.
0,0,"143,75",Волинська,2011,Із рр(1-6)в закл.в сільськ.місц.
0,0,"32,5",Дніпропетровська,2011,Із рр(1-6)в закл.в сільськ.місц.
0,0,253,Донецька,2011,Із рр(1-6)в закл.в сільськ.місц.
0,0,"226,5",Житомирська,2011,Із рр(1-6)в закл.в сільськ.місц.
0,0,"532,25",Закарпатська,2011,Із рр(1-6)в закл.в сільськ.місц.
0,0,"165,75",Запорізька,2011,Із рр(1-6)в закл.в сільськ.місц.
0,0,395,Івано-Франківська,2011,Із рр(1-6)в закл.в сільськ.місц.
0,0,439,Київська,2011,Із рр(1-6)в закл.в сільськ.місц.
0,0,"129,5",Кіровоградська,2011,Із рр(1-6)в закл.в сільськ.місц.
0,0,"114,25",Луганська,2011,Із рр(1-6)в закл.в сільськ.місц.
0,0,"482,5",Львівська,2011,Із рр(1-6)в закл.в сільськ.місц.
0,0,"136,25",Миколаївська,2011,Із рр(1-6)в закл.в сільськ.місц.
0,0,360,Одеська,2011,Із рр(1-6)в закл.в сільськ.місц.
0,0,"337,25",Полтавська,2011,Із рр(1-6)в закл.в сільськ.місц.
0,0,"203,5",Рівненська,2011,Із рр(1-6)в закл.в сільськ.місц.
0,0,186,Сумська,2011,Із рр(1-6)в закл.в сільськ.місц.
0,0,258,Тернопільська,2011,Із рр(1-6)в закл.в сільськ.місц.
0,0,"30,5",Харківська,2011,Із рр(1-6)в закл.в сільськ.місц.
0,0,"136,5",Херсонська,2011,Із рр(1-6)в закл.в сільськ.місц.
0,0,"187,25",Хмельницька,2011,Із рр(1-6)в закл.в сільськ.місц.
0,0,"253,25",Черкаська,2011,Із рр(1-6)в закл.в сільськ.місц.
0,0,"312,75",Чернівецька,2011,Із рр(1-6)в закл.в сільськ.місц.
0,0,115,Чернігівська,2011,Із рр(1-6)в закл.в сільськ.місц.
0,0,0,м.Київ,2011,Із рр(1-6)в закл.в сільськ.місц.
0,0,0,м.Севастополь,2011,Із рр(1-6)в закл.в сільськ.місц.
24,9,661.75,Автономна pеспубліка Крим,2013,Самостійні амбулаторії та поліклін.
28,0,927.75,Вінницька,2013,Самостійні амбулаторії та поліклін.
17,4,418.75,Волинська,2013,Самостійні амбулаторії та поліклін.
23,2,737.5,Дніпропетровська,2013,Самостійні амбулаторії та поліклін.
23,18,739,Донецька,2013,Самостійні амбулаторії та поліклін.
110,103,515.25,Житомирська,2013,Самостійні амбулаторії та поліклін.
100,90,930.75,Закарпатська,2013,Самостійні амбулаторії та поліклін.
14,1,303,Запорізька,2013,Самостійні амбулаторії та поліклін.
139,135,508.75,Івано-Франківська,2013,Самостійні амбулаторії та поліклін.
61,60,883.75,Київська,2013,Самостійні амбулаторії та поліклін.
35,15,348.25,Кіровоградська,2013,Самостійні амбулаторії та поліклін.
21,2,513.25,Луганська,2013,Самостійні амбулаторії та поліклін.
202,190,542,Львівська,2013,Самостійні амбулаторії та поліклін.
19,0,336,Миколаївська,2013,Самостійні амбулаторії та поліклін.
36,12,734.75,Одеська,2013,Самостійні амбулаторії та поліклін.
26,0,648.75,Полтавська,2013,Самостійні амбулаторії та поліклін.
16,0,574.5,Рівненська,2013,Самостійні амбулаторії та поліклін.
32,31,172.5,Сумська,2013,Самостійні амбулаторії та поліклін.
93,85,470.5,Тернопільська,2013,Самостійні амбулаторії та поліклін.
31,29,795,Харківська,2013,Самостійні амбулаторії та поліклін.
13,0,330.25,Херсонська,2013,Самостійні амбулаторії та поліклін.
20,1,717.5,Хмельницька,2013,Самостійні амбулаторії та поліклін.
130,124,287.25,Черкаська,2013,Самостійні амбулаторії та поліклін.
12,0,480.25,Чернівецька,2013,Самостійні амбулаторії та поліклін.
11,0,114.75,Чернігівська,2013,Самостійні амбулаторії та поліклін.
0,0,0,м.Київ,2013,Самостійні амбулаторії та поліклін.
0,0,0,м.Севастополь,2013,Самостійні амбулаторії та поліклін.
0,0,0,Автономна pеспубліка Крим,2013,Диспансери
0,0,0,Вінницька,2013,Диспансери
0,0,0,Волинська,2013,Диспансери
0,0,0,Дніпропетровська,2013,Диспансери
7,0,44.25,Донецька,2013,Диспансери
0,0,0,Житомирська,2013,Диспансери
0,0,0,Закарпатська,2013,Диспансери
0,0,0,Запорізька,2013,Диспансери
0,0,0,Івано-Франківська,2013,Диспансери
0,0,0,Київська,2013,Диспансери
1,0,3.25,Кіровоградська,2013,Диспансери
1,0,1.25,Луганська,2013,Диспансери
0,0,0,Львівська,2013,Диспансери
0,0,0,Миколаївська,2013,Диспансери
0,0,0,Одеська,2013,Диспансери
0,0,0,Полтавська,2013,Диспансери
0,0,0,Рівненська,2013,Диспансери
0,0,0,Сумська,2013,Диспансери
0,0,0,Тернопільська,2013,Диспансери
2,0,17.5,Харківська,2013,Диспансери
0,0,0,Херсонська,2013,Диспансери
0,0,0,Хмельницька,2013,Диспансери
0,0,0,Черкаська,2013,Диспансери
0,0,0,Чернівецька,2013,Диспансери
0,0,0,Чернігівська,2013,Диспансери
0,0,0,м.Київ,2013,Диспансери
0,0,0,м.Севастополь,2013,Диспансери
0,0,0,Автономна pеспубліка Крим,2013,Самостійні стоматологічні полікл.
6,0,89.25,Вінницька,2013,Самостійні стоматологічні полікл.
3,0,38.75,Волинська,2013,Самостійні стоматологічні полікл.
1,0,13,Дніпропетровська,2013,Самостійні стоматологічні полікл.
4,0,119,Донецька,2013,Самостійні стоматологічні полікл.
9,1,69,Житомирська,2013,Самостійні стоматологічні полікл.
2,0,49.5,Закарпатська,2013,Самостійні стоматологічні полікл.
2,0,18.25,Запорізька,2013,Самостійні стоматологічні полікл.
3,0,96.25,Івано-Франківська,2013,Самостійні стоматологічні полікл.
3,0,56.25,Київська,2013,Самостійні стоматологічні полікл.
1,0,10,Кіровоградська,2013,Самостійні стоматологічні полікл.
1,0,6,Луганська,2013,Самостійні стоматологічні полікл.
5,0,71,Львівська,2013,Самостійні стоматологічні полікл.
0,0,0,Миколаївська,2013,Самостійні стоматологічні полікл.
