total,hospitals,chospitals,maternity_hospitals,clinic,onc_clinic,other,region,year,category
15,9,0,0,1,1,2,м.Севастополь,2010,"Чис.закл.,які мають:рентг.від.(каб)"
51,38,0,0,11,0,0,Автономна pеспубліка Крим,2010,флюорографiчнi вiддiлення (кабiнети)
59,51,0,0,4,0,0,Вінницька,2010,флюорографiчнi вiддiлення (кабiнети)
29,23,0,0,4,0,0,Волинська,2010,флюорографiчнi вiддiлення (кабiнети)
119,93,0,0,16,0,0,Дніпропетровська,2010,флюорографiчнi вiддiлення (кабiнети)
144,103,0,0,31,0,0,Донецька,2010,флюорографiчнi вiддiлення (кабiнети)
38,34,0,0,2,0,1,Житомирська,2010,флюорографiчнi вiддiлення (кабiнети)
25,20,0,0,4,0,0,Закарпатська,2010,флюорографiчнi вiддiлення (кабiнети)
54,41,0,0,6,1,1,Запорізька,2010,флюорографiчнi вiддiлення (кабiнети)
48,33,0,0,11,0,0,Івано-Франківська,2010,флюорографiчнi вiддiлення (кабiнети)
48,40,0,0,6,0,0,Київська,2010,флюорографiчнi вiддiлення (кабiнети)
38,31,0,0,2,1,1,Кіровоградська,2010,флюорографiчнi вiддiлення (кабiнети)
84,64,0,0,14,0,0,Луганська,2010,флюорографiчнi вiддiлення (кабiнети)
72,59,0,0,8,0,0,Львівська,2010,флюорографiчнi вiддiлення (кабiнети)
32,23,0,0,7,0,0,Миколаївська,2010,флюорографiчнi вiддiлення (кабiнети)
66,48,0,0,12,0,0,Одеська,2010,флюорографiчнi вiддiлення (кабiнети)
46,40,0,0,3,1,0,Полтавська,2010,флюорографiчнi вiддiлення (кабiнети)
34,29,0,1,4,0,0,Рівненська,2010,флюорографiчнi вiддiлення (кабiнети)
23,22,0,0,1,0,0,Сумська,2010,флюорографiчнi вiддiлення (кабiнети)
42,36,0,0,2,0,0,Тернопільська,2010,флюорографiчнi вiддiлення (кабiнети)
77,51,0,0,22,0,1,Харківська,2010,флюорографiчнi вiддiлення (кабiнети)
33,28,0,0,2,0,1,Херсонська,2010,флюорографiчнi вiддiлення (кабiнети)
52,42,0,0,7,0,1,Хмельницька,2010,флюорографiчнi вiддiлення (кабiнети)
38,32,0,0,5,0,0,Черкаська,2010,флюорографiчнi вiддiлення (кабiнети)
34,22,0,0,7,0,1,Чернівецька,2010,флюорографiчнi вiддiлення (кабiнети)
38,36,0,0,0,0,0,Чернігівська,2010,флюорографiчнi вiддiлення (кабiнети)
56,10,0,0,42,0,0,м.Київ,2010,флюорографiчнi вiддiлення (кабiнети)
7,6,0,0,0,0,0,м.Севастополь,2010,флюорографiчнi вiддiлення (кабiнети)
8,5,0,0,2,1,0,Автономна pеспубліка Крим,2010,радiологiчнi (променевої терапiї)
4,3,0,0,0,1,0,Вінницька,2010,радiологiчнi (променевої терапiї)
1,0,0,0,0,1,0,Волинська,2010,радiологiчнi (променевої терапiї)
6,4,0,0,0,2,0,Дніпропетровська,2010,радiологiчнi (променевої терапiї)
10,5,0,0,0,5,0,Донецька,2010,радiологiчнi (променевої терапiї)
1,0,0,0,0,1,0,Житомирська,2010,радiологiчнi (променевої терапiї)
1,0,0,0,0,1,0,Закарпатська,2010,радiологiчнi (променевої терапiї)
5,3,0,0,0,2,0,Запорізька,2010,радiологiчнi (променевої терапiї)
2,0,0,0,0,2,0,Івано-Франківська,2010,радiологiчнi (променевої терапiї)
2,0,0,0,0,2,0,Київська,2010,радiологiчнi (променевої терапiї)
2,0,0,0,0,2,0,Кіровоградська,2010,радiологiчнi (променевої терапiї)
4,1,0,0,0,3,0,Луганська,2010,радiологiчнi (променевої терапiї)
3,2,0,0,0,1,0,Львівська,2010,радiологiчнi (променевої терапiї)
1,0,0,0,0,1,0,Миколаївська,2010,радiологiчнi (променевої терапiї)
4,3,0,0,0,1,0,Одеська,2010,радiологiчнi (променевої терапiї)
3,1,0,0,0,2,0,Полтавська,2010,радiологiчнi (променевої терапiї)
3,1,0,0,0,2,0,Рівненська,2010,радiологiчнi (променевої терапiї)
1,0,0,0,0,1,0,Сумська,2010,радiологiчнi (променевої терапiї)
1,0,0,0,0,1,0,Тернопільська,2010,радiологiчнi (променевої терапiї)
2,1,0,0,0,1,0,Харківська,2010,радiологiчнi (променевої терапiї)
1,0,0,0,0,1,0,Херсонська,2010,радiологiчнi (променевої терапiї)
1,0,0,0,0,1,0,Хмельницька,2010,радiологiчнi (променевої терапiї)
2,1,0,0,0,1,0,Черкаська,2010,радiологiчнi (променевої терапiї)
1,0,0,0,0,1,0,Чернівецька,2010,радiологiчнi (променевої терапiї)
1,0,0,0,0,1,0,Чернігівська,2010,радiологiчнi (променевої терапiї)
2,2,0,0,0,0,0,м.Київ,2010,радiологiчнi (променевої терапiї)
1,0,0,0,0,1,0,м.Севастополь,2010,радiологiчнi (променевої терапiї)
2,1,0,0,0,1,0,Автономна pеспубліка Крим,2010,лабораторії радіоізотопної діагност.
1,0,0,0,0,1,0,Вінницька,2010,лабораторії радіоізотопної діагност.
1,0,0,0,0,1,0,Волинська,2010,лабораторії радіоізотопної діагност.
3,2,0,0,0,1,0,Дніпропетровська,2010,лабораторії радіоізотопної діагност.
3,1,0,0,0,2,0,Донецька,2010,лабораторії радіоізотопної діагност.
0,0,0,0,0,0,0,Житомирська,2010,лабораторії радіоізотопної діагност.
1,0,0,0,0,1,0,Закарпатська,2010,лабораторії радіоізотопної діагност.
2,2,0,0,0,0,0,Запорізька,2010,лабораторії радіоізотопної діагност.
0,0,0,0,0,0,0,Івано-Франківська,2010,лабораторії радіоізотопної діагност.
2,1,0,0,0,1,0,Київська,2010,лабораторії радіоізотопної діагност.
1,1,0,0,0,0,0,Кіровоградська,2010,лабораторії радіоізотопної діагност.
3,1,0,0,0,2,0,Луганська,2010,лабораторії радіоізотопної діагност.
3,2,0,0,0,1,0,Львівська,2010,лабораторії радіоізотопної діагност.
1,0,0,0,0,1,0,Миколаївська,2010,лабораторії радіоізотопної діагност.
3,2,0,0,0,1,0,Одеська,2010,лабораторії радіоізотопної діагност.
1,0,0,0,0,1,0,Полтавська,2010,лабораторії радіоізотопної діагност.
1,1,0,0,0,0,0,Рівненська,2010,лабораторії радіоізотопної діагност.
1,0,0,0,0,1,0,Сумська,2010,лабораторії радіоізотопної діагност.
0,0,0,0,0,0,0,Тернопільська,2010,лабораторії радіоізотопної діагност.
1,1,0,0,0,0,0,Харківська,2010,лабораторії радіоізотопної діагност.
1,1,0,0,0,0,0,Херсонська,2010,лабораторії радіоізотопної діагност.
1,0,0,0,0,1,0,Хмельницька,2010,лабораторії радіоізотопної діагност.
1,1,0,0,0,0,0,Черкаська,2010,лабораторії радіоізотопної діагност.
1,1,0,0,0,0,0,Чернівецька,2010,лабораторії радіоізотопної діагност.
2,2,0,0,0,0,0,Чернігівська,2010,лабораторії радіоізотопної діагност.
6,6,0,0,0,0,0,м.Київ,2010,лабораторії радіоізотопної діагност.
1,1,0,0,0,0,0,м.Севастополь,2010,лабораторії радіоізотопної діагност.
6,5,0,0,1,0,0,Автономна pеспубліка Крим,2010,комп'ютерної томографії
4,1,0,0,0,1,1,Вінницька,2010,комп'ютерної томографії
4,3,0,0,0,1,0,Волинська,2010,комп'ютерної томографії
8,4,1,0,1,1,0,Дніпропетровська,2010,комп'ютерної томографії
6,5,0,0,0,1,0,Донецька,2010,комп'ютерної томографії
3,2,0,0,1,0,0,Житомирська,2010,комп'ютерної томографії
6,4,1,0,0,1,0,Закарпатська,2010,комп'ютерної томографії
3,3,0,0,0,0,0,Запорізька,2010,комп'ютерної томографії
3,2,0,0,1,0,0,Івано-Франківська,2010,комп'ютерної томографії
5,3,0,0,0,0,0,Київська,2010,комп'ютерної томографії
2,1,0,0,0,1,0,Кіровоградська,2010,комп'ютерної томографії
4,3,1,0,0,0,0,Луганська,2010,комп'ютерної томографії
4,2,0,0,1,1,0,Львівська,2010,комп'ютерної томографії
2,2,0,0,0,0,0,Миколаївська,2010,комп'ютерної томографії
1,1,0,0,0,0,0,Одеська,2010,комп'ютерної томографії
4,3,0,0,0,1,0,Полтавська,2010,комп'ютерної томографії
3,2,0,0,0,1,0,Рівненська,2010,комп'ютерної томографії
2,1,0,0,0,1,0,Сумська,2010,комп'ютерної томографії
2,1,0,0,0,0,0,Тернопільська,2010,комп'ютерної томографії
5,3,1,0,0,1,0,Харківська,2010,комп'ютерної томографії
1,1,0,0,0,0,0,Херсонська,2010,комп'ютерної томографії
2,1,0,0,0,0,0,Хмельницька,2010,комп'ютерної томографії
3,2,0,0,0,1,0,Черкаська,2010,комп'ютерної томографії
3,1,0,0,1,1,0,Чернівецька,2010,комп'ютерної томографії
4,1,1,0,0,1,1,Чернігівська,2010,комп'ютерної томографії
12,7,1,1,3,0,0,м.Київ,2010,комп'ютерної томографії
1,1,0,0,0,0,0,м.Севастополь,2010,комп'ютерної томографії
109,44,1,6,32,1,13,Автономна pеспубліка Крим,2010,каб.електрокардіог.та функц.діагност.
235,92,1,2,129,1,4,Вінницька,2010,каб.електрокардіог.та функц.діагност.
131,44,1,1,78,1,0,Волинська,2010,каб.електрокардіог.та функц.діагност.
273,126,1,10,117,2,3,Дніпропетровська,2010,каб.електрокардіог.та функц.діагност.
258,131,1,13,86,2,3,Донецька,2010,каб.електрокардіог.та функц.діагност.
134,54,1,1,70,1,2,Житомирська,2010,каб.електрокардіог.та функц.діагност.
111,47,1,1,56,1,2,Закарпатська,2010,каб.електрокардіог.та функц.діагност.
129,54,1,4,43,2,4,Запорізька,2010,каб.електрокардіог.та функц.діагност.
134,45,1,4,63,2,3,Івано-Франківська,2010,каб.електрокардіог.та функц.діагност.
256,75,2,3,162,1,4,Київська,2010,каб.електрокардіог.та функц.діагност.
148,56,1,2,78,2,3,Кіровоградська,2010,каб.електрокардіог.та функц.діагност.
119,76,1,11,18,1,1,Луганська,2010,каб.електрокардіог.та функц.діагност.
168,76,1,3,72,1,7,Львівська,2010,каб.електрокардіог.та функц.діагност.
67,38,1,2,19,1,2,Миколаївська,2010,каб.електрокардіог.та функц.діагност.
240,87,1,5,125,1,8,Одеська,2010,каб.електрокардіог.та функц.діагност.
225,75,1,2,137,1,2,Полтавська,2010,каб.електрокардіог.та функц.діагност.
157,53,1,1,88,2,4,Рівненська,2010,каб.електрокардіог.та функц.діагност.
138,45,1,2,80,1,3,Сумська,2010,каб.електрокардіог.та функц.діагност.
189,49,1,1,125,1,1,Тернопільська,2010,каб.електрокардіог.та функц.діагност.
230,74,2,5,130,1,4,Харківська,2010,каб.електрокардіог.та функц.діагност.
108,50,1,1,51,1,1,Херсонська,2010,каб.електрокардіог.та функц.діагност.
193,65,1,1,117,1,4,Хмельницька,2010,каб.електрокардіог.та функц.діагност.
128,53,0,1,64,1,5,Черкаська,2010,каб.електрокардіог.та функц.діагност.
135,44,2,1,80,1,2,Чернівецька,2010,каб.електрокардіог.та функц.діагност.
155,70,1,1,75,1,3,Чернігівська,2010,каб.електрокардіог.та функц.діагност.
123,31,1,10,64,0,5,м.Київ,2010,каб.електрокардіог.та функц.діагност.
12,8,0,0,1,0,0,м.Севастополь,2010,каб.електрокардіог.та функц.діагност.
0,0,0,0,0,0,0,Автономна pеспубліка Крим,2010,дистанційно-діагностичні кабінети
7,7,0,0,0,0,0,Вінницька,2010,дистанційно-діагностичні кабінети
0,0,0,0,0,0,0,Волинська,2010,дистанційно-діагностичні кабінети
2,2,0,0,0,0,0,Дніпропетровська,2010,дистанційно-діагностичні кабінети
1,1,0,0,0,0,0,Донецька,2010,дистанційно-діагностичні кабінети
3,2,0,0,1,0,0,Житомирська,2010,дистанційно-діагностичні кабінети
0,0,0,0,0,0,0,Закарпатська,2010,дистанційно-діагностичні кабінети
1,0,0,0,0,0,1,Запорізька,2010,дистанційно-діагностичні кабінети
1,1,0,0,0,0,0,Івано-Франківська,2010,дистанційно-діагностичні кабінети
0,0,0,0,0,0,0,Київська,2010,дистанційно-діагностичні кабінети
2,1,0,0,0,0,1,Кіровоградська,2010,дистанційно-діагностичні кабінети
0,0,0,0,0,0,0,Луганська,2010,дистанційно-діагностичні кабінети
1,0,0,0,0,0,1,Львівська,2010,дистанційно-діагностичні кабінети
1,1,0,0,0,0,0,Миколаївська,2010,дистанційно-діагностичні кабінети
0,0,0,0,0,0,0,Одеська,2010,дистанційно-діагностичні кабінети
10,9,0,0,0,0,1,Полтавська,2010,дистанційно-діагностичні кабінети
0,0,0,0,0,0,0,Рівненська,2010,дистанційно-діагностичні кабінети
2,1,0,0,0,0,1,Сумська,2010,дистанційно-діагностичні кабінети
1,1,0,0,0,0,0,Тернопільська,2010,дистанційно-діагностичні кабінети
0,0,0,0,0,0,0,Харківська,2010,дистанційно-діагностичні кабінети
1,0,0,0,0,0,1,Херсонська,2010,дистанційно-діагностичні кабінети
1,0,0,0,0,0,1,Хмельницька,2010,дистанційно-діагностичні кабінети
2,1,0,0,0,0,1,Черкаська,2010,дистанційно-діагностичні кабінети
0,0,0,0,0,0,0,Чернівецька,2010,дистанційно-діагностичні кабінети
2,1,0,0,0,0,1,Чернігівська,2010,дистанційно-діагностичні кабінети
0,0,0,0,0,0,0,м.Київ,2010,дистанційно-діагностичні кабінети
0,0,0,0,0,0,0,м.Севастополь,2010,дистанційно-діагностичні кабінети
220,55,1,7,116,1,14,Автономна pеспубліка Крим,2010,клініко-діагностичні лабораторії
255,97,1,3,133,1,6,Вінницька,2010,клініко-діагностичні лабораторії
140,44,1,1,83,1,1,Волинська,2010,клініко-діагностичні лабораторії
260,129,1,10,89,2,3,Дніпропетровська,2010,клініко-діагностичні лабораторії
323,134,1,13,117,5,8,Донецька,2010,клініко-діагностичні лабораторії
184,60,1,1,112,1,2,Житомирська,2010,клініко-діагностичні лабораторії
225,53,1,1,161,1,2,Закарпатська,2010,клініко-діагностичні лабораторії
170,65,1,3,67,2,6,Запорізька,2010,клініко-діагностичні лабораторії
200,48,1,5,120,1,6,Івано-Франківська,2010,клініко-діагностичні лабораторії
263,76,2,3,164,2,4,Київська,2010,клініко-діагностичні лабораторії
132,54,1,2,57,2,4,Кіровоградська,2010,клініко-діагностичні лабораторії
213,88,1,13,61,4,4,Луганська,2010,клініко-діагностичні лабораторії
276,90,2,3,154,1,8,Львівська,2010,клініко-діагностичні лабораторії
130,48,1,2,65,1,3,Миколаївська,2010,клініко-діагностичні лабораторії
277,96,1,5,141,1,7,Одеська,2010,клініко-діагностичні лабораторії
269,90,1,2,152,1,9,Полтавська,2010,клініко-діагностичні лабораторії
164,54,1,1,92,2,5,Рівненська,2010,клініко-діагностичні лабораторії
156,46,1,2,92,1,4,Сумська,2010,клініко-діагностичні лабораторії
210,49,1,1,139,1,6,Тернопільська,2010,клініко-діагностичні лабораторії
212,76,2,5,93,1,3,Харківська,2010,клініко-діагностичні лабораторії
124,55,1,1,58,1,3,Херсонська,2010,клініко-діагностичні лабораторії
197,66,1,1,112,1,6,Хмельницька,2010,клініко-діагностичні лабораторії
193,75,0,2,102,1,6,Черкаська,2010,клініко-діагностичні лабораторії
163,45,2,1,101,1,3,Чернівецька,2010,клініко-діагностичні лабораторії
162,69,1,1,74,1,5,Чернігівська,2010,клініко-діагностичні лабораторії
135,32,1,11,59,0,8,м.Київ,2010,клініко-діагностичні лабораторії
17,9,0,0,1,1,2,м.Севастополь,2010,клініко-діагностичні лабораторії
13,7,0,1,1,0,0,Автономна pеспубліка Крим,2010,бактеріологічні лабораторії
8,4,1,0,1,0,0,Вінницька,2010,бактеріологічні лабораторії
4,3,1,0,0,0,0,Волинська,2010,бактеріологічні лабораторії
7,7,0,0,0,0,0,Дніпропетровська,2010,бактеріологічні лабораторії
10,10,0,0,0,0,0,Донецька,2010,бактеріологічні лабораторії
2,2,0,0,0,0,0,Житомирська,2010,бактеріологічні лабораторії
2,2,0,0,0,0,0,Закарпатська,2010,бактеріологічні лабораторії
11,7,1,2,0,0,0,Запорізька,2010,бактеріологічні лабораторії
4,2,1,0,0,0,0,Івано-Франківська,2010,бактеріологічні лабораторії
3,1,1,0,0,0,0,Київська,2010,бактеріологічні лабораторії
1,1,0,0,0,0,0,Кіровоградська,2010,бактеріологічні лабораторії
18,13,0,1,0,0,0,Луганська,2010,бактеріологічні лабораторії
4,2,1,0,0,0,0,Львівська,2010,бактеріологічні лабораторії
1,0,0,0,0,0,0,Миколаївська,2010,бактеріологічні лабораторії
5,3,0,0,0,1,0,Одеська,2010,бактеріологічні лабораторії
5,3,0,0,1,0,0,Полтавська,2010,бактеріологічні лабораторії
2,2,0,0,0,0,0,Рівненська,2010,бактеріологічні лабораторії
1,1,0,0,0,0,0,Сумська,2010,бактеріологічні лабораторії
1,0,0,0,0,0,0,Тернопільська,2010,бактеріологічні лабораторії
9,0,1,0,4,0,0,Харківська,2010,бактеріологічні лабораторії
0,0,0,0,0,0,0,Херсонська,2010,бактеріологічні лабораторії
11,9,0,0,1,0,0,Хмельницька,2010,бактеріологічні лабораторії
5,3,0,0,0,0,0,Черкаська,2010,бактеріологічні лабораторії
10,5,0,0,2,0,0,Чернівецька,2010,бактеріологічні лабораторії
6,4,0,0,0,0,0,Чернігівська,2010,бактеріологічні лабораторії
23,8,1,2,4,0,0,м.Київ,2010,бактеріологічні лабораторії
3,1,0,0,0,0,0,м.Севастополь,2010,бактеріологічні лабораторії
3,2,0,0,0,0,0,Автономна pеспубліка Крим,2010,серологічні лабораторії
0,0,0,0,0,0,0,Вінницька,2010,серологічні лабораторії
0,0,0,0,0,0,0,Волинська,2010,серологічні лабораторії
3,3,0,0,0,0,0,Дніпропетровська,2010,серологічні лабораторії
4,1,0,0,0,0,0,Донецька,2010,серологічні лабораторії
0,0,0,0,0,0,0,Житомирська,2010,серологічні лабораторії
1,0,0,0,0,0,0,Закарпатська,2010,серологічні лабораторії
3,1,0,0,0,0,0,Запорізька,2010,серологічні лабораторії
2,0,0,0,0,0,0,Івано-Франківська,2010,серологічні лабораторії
0,0,0,0,0,0,0,Київська,2010,серологічні лабораторії
2,0,0,0,0,0,0,Кіровоградська,2010,серологічні лабораторії
6,2,0,0,0,0,0,Луганська,2010,серологічні лабораторії
3,1,0,0,1,0,0,Львівська,2010,серологічні лабораторії
2,1,0,0,0,0,0,Миколаївська,2010,серологічні лабораторії
1,0,0,0,0,0,0,Одеська,2010,серологічні лабораторії
0,0,0,0,0,0,0,Полтавська,2010,серологічні лабораторії
0,0,0,0,0,0,0,Рівненська,2010,серологічні лабораторії
0,0,0,0,0,0,0,Сумська,2010,серологічні лабораторії
1,0,0,0,0,0,0,Тернопільська,2010,серологічні лабораторії
1,0,0,0,0,0,0,Харківська,2010,серологічні лабораторії
0,0,0,0,0,0,0,Херсонська,2010,серологічні лабораторії
2,1,0,0,0,0,0,Хмельницька,2010,серологічні лабораторії
1,0,0,0,0,0,0,Черкаська,2010,серологічні лабораторії
1,0,0,0,0,0,0,Чернівецька,2010,серологічні лабораторії
0,0,0,0,0,0,0,Чернігівська,2010,серологічні лабораторії
3,0,0,0,0,0,0,м.Київ,2010,серологічні лабораторії
1,0,0,0,0,0,0,м.Севастополь,2010,серологічні лабораторії
8,1,0,0,1,0,2,Автономна pеспубліка Крим,2010,біохімічні лабораторії
1,1,0,0,0,0,0,Вінницька,2010,біохімічні лабораторії
1,1,0,0,0,0,0,Волинська,2010,біохімічні лабораторії
3,3,0,0,0,0,0,Дніпропетровська,2010,біохімічні лабораторії
6,3,0,0,2,0,0,Донецька,2010,біохімічні лабораторії
1,1,0,0,0,0,0,Житомирська,2010,біохімічні лабораторії
0,0,0,0,0,0,0,Закарпатська,2010,біохімічні лабораторії
5,5,0,0,0,0,0,Запорізька,2010,біохімічні лабораторії
0,0,0,0,0,0,0,Івано-Франківська,2010,біохімічні лабораторії
2,0,0,0,0,0,0,Київська,2010,біохімічні лабораторії
0,0,0,0,0,0,0,Кіровоградська,2010,біохімічні лабораторії
10,9,0,0,0,0,1,Луганська,2010,біохімічні лабораторії
2,0,0,0,0,0,0,Львівська,2010,біохімічні лабораторії
3,2,1,0,0,0,0,Миколаївська,2010,біохімічні лабораторії
2,0,0,0,1,0,0,Одеська,2010,біохімічні лабораторії
1,1,0,0,0,0,0,Полтавська,2010,біохімічні лабораторії
0,0,0,0,0,0,0,Рівненська,2010,біохімічні лабораторії
0,0,0,0,0,0,0,Сумська,2010,біохімічні лабораторії
1,1,0,0,0,0,0,Тернопільська,2010,біохімічні лабораторії
3,2,0,0,1,0,0,Харківська,2010,біохімічні лабораторії
0,0,0,0,0,0,0,Херсонська,2010,біохімічні лабораторії
0,0,0,0,0,0,0,Хмельницька,2010,біохімічні лабораторії
0,0,0,0,0,0,0,Черкаська,2010,біохімічні лабораторії
0,0,0,0,0,0,0,Чернівецька,2010,біохімічні лабораторії
2,1,0,0,0,0,1,Чернігівська,2010,біохімічні лабораторії
4,3,0,0,0,0,1,м.Київ,2010,біохімічні лабораторії
0,0,0,0,0,0,0,м.Севастополь,2010,біохімічні лабораторії
1,0,0,0,0,1,0,Автономна pеспубліка Крим,2010,цитологічні лабораторії
1,0,0,0,0,1,0,Вінницька,2010,цитологічні лабораторії
2,0,0,0,1,1,0,Волинська,2010,цитологічні лабораторії
3,1,0,0,0,0,0,Дніпропетровська,2010,цитологічні лабораторії
6,4,0,0,0,2,0,Донецька,2010,цитологічні лабораторії
0,0,0,0,0,0,0,Житомирська,2010,цитологічні лабораторії
1,0,0,0,0,1,0,Закарпатська,2010,цитологічні лабораторії
4,2,0,0,0,2,0,Запорізька,2010,цитологічні лабораторії
3,1,0,0,0,2,0,Івано-Франківська,2010,цитологічні лабораторії
1,0,0,0,0,1,0,Київська,2010,цитологічні лабораторії
2,0,0,0,0,2,0,Кіровоградська,2010,цитологічні лабораторії
9,5,0,0,0,4,0,Луганська,2010,цитологічні лабораторії
2,1,0,0,0,1,0,Львівська,2010,цитологічні лабораторії
3,2,0,0,0,1,0,Миколаївська,2010,цитологічні лабораторії
2,1,0,0,0,1,0,Одеська,2010,цитологічні лабораторії
2,0,0,0,0,2,0,Полтавська,2010,цитологічні лабораторії
4,3,0,0,0,1,0,Рівненська,2010,цитологічні лабораторії
0,0,0,0,0,0,0,Сумська,2010,цитологічні лабораторії
1,0,0,0,0,1,0,Тернопільська,2010,цитологічні лабораторії
1,0,0,0,0,1,0,Харківська,2010,цитологічні лабораторії
1,0,0,0,0,1,0,Херсонська,2010,цитологічні лабораторії
3,2,0,0,0,1,0,Хмельницька,2010,цитологічні лабораторії
2,1,0,0,0,1,0,Черкаська,2010,цитологічні лабораторії
0,0,0,0,0,0,0,Чернівецька,2010,цитологічні лабораторії
0,0,0,0,0,0,0,Чернігівська,2010,цитологічні лабораторії
5,4,0,0,1,0,0,м.Київ,2010,цитологічні лабораторії
1,0,0,0,0,1,0,м.Севастополь,2010,цитологічні лабораторії
3,1,0,0,2,0,0,Автономна pеспубліка Крим,2010,імунологічні лабораторії
0,0,0,0,0,0,0,Вінницька,2010,імунологічні лабораторії
0,0,0,0,0,0,0,Волинська,2010,імунологічні лабораторії
6,5,0,1,0,0,0,Дніпропетровська,2010,імунологічні лабораторії
2,1,0,0,0,0,0,Донецька,2010,імунологічні лабораторії
1,1,0,0,0,0,0,Житомирська,2010,імунологічні лабораторії
1,0,0,0,1,0,0,Закарпатська,2010,імунологічні лабораторії
3,2,0,1,0,0,0,Запорізька,2010,імунологічні лабораторії
1,1,0,0,0,0,0,Івано-Франківська,2010,імунологічні лабораторії
0,0,0,0,0,0,0,Київська,2010,імунологічні лабораторії
2,1,0,0,1,0,0,Кіровоградська,2010,імунологічні лабораторії
4,4,0,0,0,0,0,Луганська,2010,імунологічні лабораторії
